size,rel4
1024,4.25630806030244
2048,4.32355291221089
3478,10.0131844995298
4096,4.57130334505071
8192,5.70597504950854
8657,10.2064960752245
9086,9.4737660468016
9415,8.00470157655514
16384,3.60278495670397
16856,5.78975608254369
19529,5.31405388837209
21248,5.31185840348695
23940,3.40209187409757
24536,6.50278650948708
24892,8.79788114808171
32768,2.92390654904287
33571,7.05927083528116
34780,5.14648567707446
35958,4.9633762656267
40560,3.72879859982365
42283,10.3220397028105
47665,10.1432739035685
50629,11.096479501533
53443,8.79010519554758
54766,7.04773666789864
58940,3.17667478273252
59602,4.68993735461021
61202,5.64161507129192
65536,3.20095779866032
69202,5.33758730371147
74816,5.51230890907898
75673,5.99074646568557
75751,5.9932469862387
77841,4.34470060278712
81656,5.53220637892446
84755,3.83476396793811
88199,5.08830789602262
90725,4.82224015041033
93660,4.61588716163002
96173,3.10280072760478
99036,4.56153764257501
100779,7.4586862759128
101709,4.60373428792162
106188,8.59236435118419
106209,6.47473016404474
107943,4.63821075989386
108551,5.86998827598295
109616,3.87114463767424
110169,5.63330416620823
113756,8.18687382616398
116014,4.09026376719557
118128,5.72174283910983
121263,4.99247019678082
121809,6.69083775123513
122061,3.69930888549376
123091,7.64317088286251
124041,7.38193522731767
129699,6.05378681807988
130879,5.61226391618496
131072,4.44351339371301
133646,4.69498200116769
134256,5.72065551923814
135216,4.04646554609657
135518,6.75252354541824
137148,6.67568922288273
141628,5.80554091480995
144408,3.70352241744109
145198,4.53853709879858
146904,3.72132792132693
147366,4.95442036215014
152342,3.43550753324738
155398,10.5674688662204
156978,5.64299941180641
161247,4.0512632991328
162423,7.56652031146063
164114,3.64538396230783
171892,4.41813081300247
174477,3.82250147832261
175813,3.76525390823335
178006,15.2204942641788
178025,5.13431733078723
182054,8.24210210551376
191258,7.83169823949515
192971,8.08318772691474
194666,6.81057956081641
199696,3.58155972064333
199942,5.32638432104423
202646,6.22803692764751
209466,4.25365571818227
212612,3.79121121506506
216113,9.92008702524484
218624,3.68948363659507
220362,4.08796964910159
222030,5.93202601437746
230270,7.47150323660013
234516,8.20974640784922
235846,3.60032827448013
237494,8.62099983587196
239491,7.27030807457284
241869,4.00294311776433
246308,6.6701289662998
248269,5.72636935356189
248329,7.98559362564021
254882,7.86464286042323
255579,7.68341392990638
256148,10.1488626851958
258840,5.76188999175226
259688,4.73581301613515
262144,7.58990668918132
